date,no2(ppm)
2021-03-17,0.031
2021-03-18,0.046
2021-03-19,0.036
2021-03-20,0.028
2021-03-21,0.013
2021-03-22,0.023
2021-03-23,0.033
2021-03-24,0.031
2021-03-25,0.043
2021-03-26,0.055
2021-03-27,0.058
2021-03-28,0.027
2021-03-29,0.027
2021-03-30,0.03
2021-03-31,0.038
2021-04-01,0.033
2021-04-02,0.032
2021-04-03,0.041
2021-04-04,0.021
2021-04-05,0.024
2021-04-06,0.027
2021-04-07,0.03
2021-04-08,0.019
2021-04-09,0.025
2021-04-10,0.024
2021-04-11,0.027
2021-04-12,0.04
2021-04-13,0.022
2021-04-14,0.019
2021-04-15,0.032
2021-04-16,0.031
2021-04-17,0.024
2021-04-18,0.016
2021-04-19,0.033
2021-04-20,0.039
2021-04-21,0.047
2021-04-22,0.041
2021-04-23,0.035
2021-04-24,0.024
2021-04-25,0.024
2021-04-26,0.027
2021-04-27,0.031
2021-04-28,0.036
2021-04-29,0.035
2021-04-30,0.029
2021-05-01,0.02
2021-05-02,0.019
2021-05-03,0.033
2021-05-04,0.049
2021-05-05,0.025
2021-05-06,0.038
2021-05-07,0.032
2021-05-08,0.026
2021-05-09,0.019
2021-05-10,0.042
2021-05-11,0.037
2021-05-12,0.039
2021-05-13,0.046
2021-05-14,0.054
2021-05-15,0.052
2021-05-16,0.047
2021-05-17,0.04
2021-05-18,0.041
2021-05-19,0.032
2021-05-20,0.038
2021-05-21,0.036
2021-05-22,0.039
2021-05-23,0.036
2021-05-24,0.034
2021-05-25,0.034
2021-05-26,0.039
2021-05-27,0.042
2021-05-28,0.044
2021-05-29,0.032
2021-05-30,0.036
2021-05-31,0.053
2021-06-01,0.048
2021-06-02,0.049
2021-06-03,0.047
2021-06-04,0.039
2021-06-05,0.04
2021-06-06,0.044
2021-06-07,0.057
2021-06-08,0.057
2021-06-09,0.057
2021-06-10,0.06
2021-06-11,0.045
2021-06-12,0.044
2021-06-13,0.049
2021-06-14,0.065
2021-06-15,0.054
2021-06-16,0.046
2021-06-17,0.05
2021-06-18,0.052
2021-06-19,0.049
